UID;Molecular Formula
358;C$_{20}$H$_{14}$
375;C$_{10}$H$_{9}$
376;C$_{10}$H$_{9}$
378;C$_{24}$H$_{16}$
379;C$_{24}$H$_{16}$
380;C$_{24}$H$_{16}$
381;C$_{24}$H$_{16}$
382;C$_{10}$H$_{8}$-
383;C$_{10}$H$_{9}$-
384;C$_{10}$H$_{9}$-
385;C$_{12}$H$_{8}$
387;C$_{16}$H$_{10}$
389;C$_{20}$H$_{12}$
391;C$_{20}$H$_{12}$
393;C$_{20}$H$_{12}$
395;C$_{20}$H$_{12}$
397;C$_{20}$H$_{12}$-
398;C$_{20}$H$_{12}$-
463;C$_{11}$H$_{7}$N
465;C$_{11}$H$_{7}$N
467;C$_{15}$H$_{9}$N
469;C$_{15}$H$_{9}$N
471;C$_{15}$H$_{9}$N
473;C$_{10}$H$_{9}$N
475;C$_{10}$H$_{9}$N
477;C$_{14}$H$_{11}$N
479;C$_{14}$H$_{11}$N
481;C$_{14}$H$_{11}$N
483;C$_{9}$H$_{7}$N
485;C$_{9}$H$_{7}$N
487;C$_{13}$H$_{9}$N
489;C$_{13}$H$_{9}$N
491;C$_{13}$H$_{9}$N
493;C$_{9}$H$_{7}$
495;C$_{9}$H$_{8}$
509;C$_{10}$H$_{7}$
511;C$_{10}$H$_{7}$
513;C$_{14}$H$_{9}$
515;C$_{14}$H$_{9}$
517;C$_{14}$H$_{9}$
519;C$_{11}$H$_{9}$
521;C$_{11}$H$_{9}$
525;C$_{11}$H$_{8}$
527;C$_{10}$H$_{8}$N
533;C$_{40}$H$_{22}$
534;C$_{36}$H$_{20}$
535;C$_{32}$H$_{18}$
536;C$_{32}$H$_{18}$
537;C$_{28}$H$_{16}$
538;C$_{24}$H$_{14}$
541;C$_{40}$H$_{22}$-
543;C$_{36}$H$_{20}$-
545;C$_{32}$H$_{18}$-
547;C$_{32}$H$_{18}$-
550;C$_{24}$H$_{14}$-
552;C$_{20}$H$_{12}$-
554;C$_{16}$H$_{10}$-
555;C$_{40}$H$_{18}$
561;C$_{82}$H$_{24}$
563;C$_{94}$H$_{26}$
564;C$_{96}$H$_{26}$
565;C$_{98}$H$_{28}$
567;C$_{98}$H$_{28}$
569;C$_{126}$H$_{30}$
591;C$_{32}$H$_{14}$
593;C$_{32}$H$_{14}$-
594;C$_{66}$H$_{20}$
596;C$_{66}$H$_{20}$-
597;C$_{66}$H$_{20}$
599;C$_{66}$H$_{20}$-
600;C$_{66}$H$_{20}$
602;C$_{66}$H$_{20}$-
603;C$_{66}$H$_{20}$
605;C$_{66}$H$_{20}$-
606;C$_{112}$H$_{26}$
608;C$_{112}$H$_{26}$-
611;C$_{106}$H$_{28}$
612;C$_{150}$H$_{30}$
614;C$_{150}$H$_{30}$-
615;C$_{216}$H$_{36}$
616;C$_{294}$H$_{42}$
617;C$_{384}$H$_{48}$
618;C$_{90}$H$_{24}$
619;C$_{170}$H$_{32}$
620;C$_{42}$H$_{16}$
622;C$_{216}$H$_{36}$-
624;C$_{170}$H$_{32}$-
625;C$_{40}$H$_{16}$
627;C$_{40}$H$_{16}$-
631;C$_{128}$H$_{28}$
633;C$_{128}$H$_{28}$-
634;C$_{190}$H$_{34}$
635;C$_{48}$H$_{18}$
637;C$_{48}$H$_{18}$-
638;C$_{90}$H$_{24}$
640;C$_{90}$H$_{24}$-
641;C$_{144}$H$_{30}$
643;C$_{144}$H$_{30}$-
645;C$_{57}$H$_{19}$-
646;C$_{57}$H$_{19}$
648;C$_{87}$H$_{23}$-
649;C$_{87}$H$_{23}$
650;C$_{87}$H$_{24}$
652;C$_{119}$H$_{27}$-
653;C$_{119}$H$_{27}$
655;C$_{67}$H$_{21}$-
656;C$_{67}$H$_{21}$
658;C$_{71}$H$_{21}$-
659;C$_{71}$H$_{21}$
673;C$_{96}$H$_{25}$-
674;C$_{96}$H$_{25}$-
675;C$_{96}$H$_{25}$-
676;C$_{96}$H$_{25}$-
677;C$_{96}$H$_{25}$-
678;C$_{96}$H$_{25}$-
679;C$_{96}$H$_{25}$-
680;C$_{96}$H$_{25}$-
681;C$_{96}$H$_{25}$-
682;C$_{96}$H$_{25}$
683;C$_{96}$H$_{25}$
684;C$_{96}$H$_{25}$
685;C$_{96}$H$_{25}$
686;C$_{96}$H$_{25}$
687;C$_{96}$H$_{25}$
688;C$_{96}$H$_{25}$
689;C$_{96}$H$_{25}$
690;C$_{96}$H$_{25}$
691;C$_{96}$H$_{26}$
692;C$_{96}$H$_{26}$
693;C$_{96}$H$_{23}$
695;C$_{96}$H$_{23}$-
696;C$_{96}$H$_{23}$
698;C$_{96}$H$_{23}$-
699;C$_{96}$H$_{22}$
701;C$_{96}$H$_{22}$-
711;C$_{66}$H$_{19}$-
712;C$_{66}$H$_{19}$-
713;C$_{66}$H$_{18}$
714;C$_{66}$H$_{18}$
718;C$_{45}$H$_{15}$
719;C$_{80}$H$_{20}$
724;C$_{45}$H$_{15}$-
725;C$_{80}$H$_{20}$-
726;C$_{28}$H$_{14}$
727;C$_{63}$H$_{21}$
728;C$_{112}$H$_{28}$
732;C$_{112}$H$_{28}$-
733;C$_{28}$H$_{14}$-
734;C$_{63}$H$_{21}$-
739;C$_{190}$H$_{34}$-
741;C$_{210}$H$_{36}$-
742;C$_{210}$H$_{36}$
743;C$_{148}$H$_{30}$
745;C$_{148}$H$_{30}$-
746;C$_{146}$H$_{30}$
748;C$_{146}$H$_{30}$-
749;C$_{146}$H$_{30}$
751;C$_{146}$H$_{30}$-
752;C$_{146}$H$_{30}$
754;C$_{146}$H$_{30}$-
755;C$_{144}$H$_{30}$
756;C$_{144}$H$_{30}$
758;C$_{144}$H$_{30}$-
759;C$_{144}$H$_{30}$
760;C$_{142}$H$_{30}$
762;C$_{142}$H$_{30}$-
763;C$_{142}$H$_{30}$
765;C$_{142}$H$_{30}$-
766;C$_{142}$H$_{30}$
768;C$_{142}$H$_{30}$-
769;C$_{140}$H$_{30}$
771;C$_{140}$H$_{30}$-
772;C$_{138}$H$_{30}$
